Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
1993-01-29 00:00:00+00:00,24.60861587524414,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01 00:00:00+00:00,24.78363609313965,44.25,44.25,43.96875,43.96875,480500
1993-02-02 00:00:00+00:00,24.836151123046875,44.34375,44.375,44.125,44.21875,201300
1993-02-03 00:00:00+00:00,25.09869956970215,44.8125,44.84375,44.375,44.40625,529400
1993-02-04 00:00:00+00:00,25.203720092773438,45.0,45.09375,44.46875,44.96875,531500
1993-02-05 00:00:00+00:00,25.186201095581055,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08 00:00:00+00:00,25.186201095581055,44.96875,45.125,44.90625,44.96875,596100
1993-02-09 00:00:00+00:00,25.011192321777344,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10 00:00:00+00:00,25.04618263244629,44.71875,44.75,44.53125,44.65625,379600
1993-02-11 00:00:00+00:00,25.168703079223633,44.9375,45.125,44.78125,44.78125,19500
1993-02-12 00:00:00+00:00,24.976179122924805,44.59375,44.875,44.59375,44.875,42500
1993-02-16 00:00:00+00:00,24.346086502075195,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17 00:00:00+00:00,24.32858657836914,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18 00:00:00+00:00,24.311086654663086,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19 00:00:00+00:00,24.39859962463379,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22 00:00:00+00:00,24.486108779907227,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23 00:00:00+00:00,24.46860122680664,43.6875,43.875,43.46875,43.84375,373700
1993-02-24 00:00:00+00:00,24.78363609313965,44.25,44.25,43.71875,43.71875,26300
1993-02-25 00:00:00+00:00,24.836151123046875,44.34375,44.375,44.125,44.21875,44500
1993-02-26 00:00:00+00:00,24.871166229248047,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01 00:00:00+00:00,24.80116844177246,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02 00:00:00+00:00,25.168703079223633,44.9375,44.9375,44.25,44.3125,182400
1993-03-03 00:00:00+00:00,25.27372169494629,45.125,45.15625,44.9375,45.0,280100
1993-03-04 00:00:00+00:00,25.13370132446289,44.875,45.1875,44.875,45.1875,89500
1993-03-05 00:00:00+00:00,25.06368637084961,44.75,45.125,44.71875,44.9375,40000
1993-03-08 00:00:00+00:00,25.623779296875,45.75,45.75,44.84375,44.84375,50800
1993-03-09 00:00:00+00:00,25.536256790161133,45.59375,45.6875,45.5,45.65625,169300
1993-03-10 00:00:00+00:00,25.58877182006836,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11 00:00:00+00:00,25.51875877380371,45.5625,45.84375,45.5,45.71875,70900
1993-03-12 00:00:00+00:00,25.25621795654297,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15 00:00:00+00:00,25.37873077392578,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16 00:00:00+00:00,25.37873077392578,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17 00:00:00+00:00,25.221214294433594,45.03125,45.25,44.96875,45.25,21800
1993-03-18 00:00:00+00:00,25.37873077392578,45.3125,45.5,45.21875,45.21875,59300
1993-03-19 00:00:00+00:00,25.340333938598633,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22 00:00:00+00:00,25.19965934753418,44.78125,44.875,44.5625,44.59375,183400
1993-03-23 00:00:00+00:00,25.252397537231445,44.875,44.9375,44.8125,44.90625,55200
1993-03-24 00:00:00+00:00,25.252397537231445,44.875,45.0625,44.59375,44.8125,37200
1993-03-25 00:00:00+00:00,25.410667419433594,45.15625,45.25,44.84375,44.90625,110100
1993-03-26 00:00:00+00:00,25.269969940185547,44.90625,45.15625,44.875,45.125,101500
1993-03-29 00:00:00+00:00,25.375503540039062,45.09375,45.3125,44.9375,44.9375,87100
